Youtuber,Title,Published_date,Views,Likes,Comments
mkbhd,"Why iPhone's Features are Always ""Late""",2021-06-08T20:06:34Z,4202185,180581,12537
mkbhd,When Smartphones Copy Each Other!,2021-06-02T22:02:56Z,1562526,73229,3449
mkbhd,Ford F150 Lightning Impressions: Better Than I Thought!,2021-05-28T03:07:57Z,7955414,289919,29539
mkbhd,Talking Tech and AI with Google CEO Sundar Pichai!,2021-05-21T20:26:03Z,4226617,203336,9947
mkbhd,iPad Pro M1 Review: The Ultimate Spec Bump!,2021-05-19T13:01:25Z,6921689,221885,13278
mkbhd,M1 iMac Review: Ultra Thin Design Choice!,2021-05-18T13:00:57Z,5759215,198081,12915
mkbhd,What Is Right To Repair?,2021-05-08T01:03:28Z,4418267,250523,14005
mkbhd,Apple vs The Paradox of Choice!,2021-04-30T00:07:22Z,4312638,178222,11914
mkbhd,OnePlus Watch Review: They Settled!,2021-04-26T23:20:48Z,3189121,125863,8013
mkbhd,The New Purple iPhone 12!,2021-04-23T13:00:59Z,3350586,144486,7753
mkbhd,Apple AirTags Unboxing & Demo!,2021-04-22T13:00:44Z,9107076,279552,21681
mkbhd,Colored iMacs? Let's Talk About Apple's 4/20 Event!,2021-04-21T01:12:28Z,4901512,184619,22330
mkbhd,Retro Tech: Smart Homes,2021-04-17T13:00:30Z,1160158,45107,2595
mkbhd,Retro Tech: Hyperconnectivity,2021-04-16T13:00:07Z,751333,32196,2059
mkbhd,Retro Tech: Robots,2021-04-15T13:00:16Z,809912,35350,1895
mkbhd,Retro Tech: Teleportation,2021-04-14T13:00:18Z,1579771,55785,2980
mkbhd,Retro Tech: Wearables,2021-04-13T13:00:32Z,0,0,1271
mkbhd,Retro Tech: Flying Cars,2021-04-13T13:00:30Z,2484303,96766,5322
mkbhd,The World's Largest Smartphone Camera!,2021-04-12T13:00:19Z,3432639,120897,8239
mkbhd,Top 5 Mercedes EQS Features: Electric Luxury!,2021-04-11T22:01:55Z,5223465,149604,14859
mkbhd,The Ultimate Gaming Phone!,2021-04-08T12:00:35Z,6531386,226553,18697
mkbhd,Why Did LG Phones Really Die?,2021-04-06T20:10:32Z,3285155,137563,14821
mkbhd,The Best Mac I've Ever Reviewed!,2021-04-01T11:47:05Z,2293896,244229,18577
mkbhd,OnePlus 9 Review: Sneaky Value!,2021-03-24T22:37:02Z,2408699,85294,5278
mkbhd,OnePlus 9 Pro Review: A Huge Hasselblad Promise!,2021-03-23T15:01:27Z,4594551,145357,10799
mkbhd,Huawei Mate X2 Impressions: I Was Right!,2021-03-19T00:05:40Z,3048806,124602,7631
mkbhd,Dope Tech: The Fastest Drone AND Car Yet!,2021-03-17T01:23:57Z,3298168,128216,6430
mkbhd,The Smartphone With a Microscope Camera?!,2021-03-13T02:09:21Z,3652049,128130,7819
mkbhd,ROG Phone 5 Ultimate Review: The Most Ridiculous Custom!,2021-03-10T12:07:27Z,2831047,120095,8379
mkbhd,What I REALLY Think of the iPhone!,2021-03-05T18:54:05Z,10134701,299157,22874
mkbhd,"iPhone 13 ""Confirmed""?! NOPE",2021-02-27T00:19:54Z,2584336,116329,6342
mkbhd,Dogecoin: Explained,2021-02-16T04:04:06Z,3617900,149616,15836
mkbhd,How to Upgrade a PlayStation 5!,2021-02-13T00:16:07Z,2255468,89541,4032
mkbhd,Huawei Mate Xs Impressions: The Hottest Foldable!,2021-02-05T21:21:05Z,2450223,104909,4876
mkbhd,Galaxy S21 Review: Would You Notice?,2021-02-02T23:30:16Z,4829201,158749,10054
