Youtuber,Title,Published_date,Views,Likes,Comments
randomfrankp,Room Tour Project 217 - BEST Gaming Setups!,2020-06-21,214457,7159,634
randomfrankp,My Favorite Tech of the Month!,2020-06-20,180931,7261,439
randomfrankp,Reacting to my FIRST EVER Gaming Setup!,2020-06-19,100883,4374,378
randomfrankp,Elgato Wave 1 & 3 Microphone Review + Mic Test!,2020-06-18,359074,10631,610
randomfrankp,Room Tour Project 216 - Clean & Minimal Setups!,2020-06-07,332805,10361,480
randomfrankp,Cool Tech Under $50 - June!,2020-06-06,1077418,41744,5570
randomfrankp,The Most OVERLOOKED Aspect of Improving your Desk Setup,2020-06-05,355537,13183,752
randomfrankp,Room Tour Project 215 - BEST Gaming Setups!,2020-05-31,598938,15778,872
randomfrankp,This 144Hz 1ms Gaming Monitor is Wildly Affordable & Underrated,2020-05-29,499895,13006,1154
randomfrankp,Room Tour Project 214 - Budget Setup Edition!,2020-05-24,353081,10999,649
randomfrankp,Why This Keyboard is STILL My Main After 3 Years,2020-05-21,286601,9616,937
randomfrankp,ASUS ROG Chakram Mouse Review - The FEATURE PACKED Beast!,2020-05-17,378659,10570,956
randomfrankp,Room Tour Project 213 - BEST Gaming Setups!,2020-05-10,187627,7048,436
randomfrankp,2 MASSIVE (Literally) Setup Upgrades!,2020-05-09,317892,31641,1862
randomfrankp,Room Tour Project 212 - BEST Gaming Setups!,2020-05-03,266251,8808,658
randomfrankp,Cool Tech Under $50 - May!,2020-05-02,667960,22512,959
randomfrankp,Switch it Up: Custom Keyboards #5,2020-05-01,280164,8895,732
randomfrankp,Room Tour Project 211 - Clean & Minimal Setups!,2020-04-26,466955,13603,616
randomfrankp,Laptop Gaming Just Evolved...ROG Strix XG17,2020-04-25,175955,6493,408
randomfrankp,"New HyperX TKL Keyboard is seriously good, but....",2020-04-22,1303241,28335,2031
randomfrankp,Room Tour Project 210 - BEST Desk Setups!,2020-04-19,320395,9707,610
randomfrankp,Room Tour Project 209 - Clean & Minimal Setups!,2020-04-05,367408,10248,432
randomfrankp,Cool Tech Under $50 - April!,2020-04-04,593426,17403,998
randomfrankp,Room Tour Project 208 - WFH Setups Edition,2020-03-29,464383,12322,593
randomfrankp,Revisiting Logitech's FIRST Gaming Mouse!,2020-03-28,380598,11085,793
randomfrankp,My custom Grid 600 Keyboard just got interesting,2020-03-27,266407,8625,975
randomfrankp,Room Tour Project 207 - BEST Gaming Setups!,2020-03-22,340818,10885,733
randomfrankp,This keyboard is truly unlike anything out there...,2020-03-21,725316,23683,1813
randomfrankp,"Reviewing the $3,500 Tfue Custom Keyboard!",2020-03-20,1712922,43155,2473
randomfrankp,Oh so classy - Fractal Era ITX Case Review!,2020-03-18,106296,3224,258
randomfrankp,Time for some setup mods...and fails.,2020-03-15,170476,7445,609
randomfrankp,Room Tour Project 206 - Budget Setup Edition!,2020-03-08,435061,12066,575
randomfrankp,Cool Tech Under $50 - March!,2020-03-07,806708,26067,2990
